
5999	AFR	13935.125	214.467327057	14322	13467	D-edges 99 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 11
5988	ACS	13769.8125	215.20897366	14061	13340	D-edges 99 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5987	AFK	13755.3125	244.566125708	14268	13372	D-edges 101 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5986	ADT	13731.125	181.748065671	14027	13243	D-edges 100 	D-max-degree 17 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 17 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5985	ADG	13729.0625	207.149544035	14023	13334	D-edges 101 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5984	AG5	13729.0	244.439921044	14274	13239	D-edges 102 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5983	7B	13715.3125	216.91320809	14066	13210	D-edges 100 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5982	AAB	13714.875	279.96179985	14139	13175	D-edges 99 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 11
5981	AEJ	13696.4375	289.851248218	14120	13012	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5980	AEX	13695.125	263.05913665	14166	13170	D-edges 101 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5979	5S	13694.5625	230.54689565	14020	13252	D-edges 99 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5978	5T	13683.6875	279.965113619	14148	13050	D-edges 100 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5977	AAL	13677.0625	313.38603765	14135	12973	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 11
5976	7Y	13661.0	249.434861236	14008	13080	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5975	ADW	13652.8125	281.574195096	14183	12939	D-edges 101 	D-max-degree 17 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 17 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 12
5974	6W	13638.375	286.83986713	14097	12973	D-edges 100 	D-max-degree 17 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 17 	NSUC-D-max-in-degree 11 	NSUC-D-max-out-degree 11
5973	5H	13594.3125	297.804197156	14132	13103	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5972	AEK	13573.8125	327.635319134	14006	13025	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5971	7M	13556.3125	330.501270563	14061	12944	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5970	ABG	13546.8125	336.410318426	14136	12750	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5969	2I	13538.3125	216.072244501	13864	13121	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5968	AC3	13532.9375	281.540065699	13859	13059	D-edges 99 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 11
5967	AB5	13520.1875	196.386805422	13896	13128	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5966	AAZ	13515.6875	256.531605935	13931	13022	D-edges 100 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5965	AHG	13514.125	467.597299367	14242	12688	D-edges 99 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 11 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 11
5964	ADV	13512.75	216.835334989	13806	13132	D-edges 101 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5963	AGR	13512.1875	161.466412432	13727	13094	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5962	XG	13474.75	194.276060028	13892	13166	D-edges 90 	D-max-degree 13 	D-min-degree 3 	D-max-in-degree 8 	D-min-in-degree 0 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 6 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 13 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
5961	X5	13469.9375	344.356368598	14088	12825	D-edges 100 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5960	YL	13469.375	258.960874217	14036	12990	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5959	ZG	13452.0625	289.531187601	13935	12880	D-edges 97 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5958	AE4	13451.875	305.947682415	14035	12998	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5957	VA	13447.375	254.88597328	13991	12949	D-edges 100 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5956	AEP	13443.1875	278.824590637	13964	12948	D-edges 100 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5955	U6	13438.9375	157.164908913	13729	13188	D-edges 89 	D-max-degree 13 	D-min-degree 3 	D-max-in-degree 8 	D-min-in-degree 0 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 6 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 12 	NSUC-D-max-in-degree 7 	NSUC-D-max-out-degree 5
5954	AFO	13435.125	299.016486795	14005	12760	D-edges 99 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5953	XT	13429.9375	257.822969484	13865	12834	D-edges 98 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5952	VD	13425.5	194.845130809	13733	13034	D-edges 97 	D-max-degree 16 	D-min-degree 4 	D-max-in-degree 9 	D-min-in-degree 1 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	DD 16 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 9 	NSUC-D-max-out-degree 12
5951	AAD	13425.25	224.04477789	13752	12829	D-edges 102 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 12 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	DD 17 	NSUC.disc 10 	CSUC.disc 3 	min_CSUC.disc 3 	all_sinkless_cycles 10 	NSUC.conn 0 	NSUC-D-max-degree 16 	NSUC-D-max-in-degree 10 	NSUC-D-max-out-degree 12
5950	YJ	13420.875	180.196724096	13715	12994	D-edges 89 	D-max-degree 13 	D-min-degree 3 	D-max-in-degree 8 	D-min-in-degree 0 	D-max-out-degree 8 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 8 	DD 15 	NSUC.disc 6 	CSUC.disc 2 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0 	NSUC-D-max-degree 13 	NSUC-D-max-in-degree 8 	NSUC-D-max-out-degree 5
