
5999	AAV	98610.375	3550.43210178	106530	92143	D-edges 197 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5988	ACZ	97248.4375	2465.62147259	102417	93627	D-edges 196 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5987	AMC	97235.5625	3217.22424943	101020	90118	D-edges 198 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5986	V3	97231.0	2890.32541421	102341	91456	D-edges 193 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5985	AOY	97197.25	3224.04380204	104754	93845	D-edges 198 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5984	PT	97104.375	2626.91548862	99970	91549	D-edges 196 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 12 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5983	7Y	97088.6875	2812.29638638	103657	92813	D-edges 192 	D-max-degree 23 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5982	APF	96995.125	4024.92998192	104113	86797	D-edges 195 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5981	ATZ	96845.25	3622.46688218	101414	88674	D-edges 195 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5980	AQH	96758.4375	3126.75014929	100927	90385	D-edges 198 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5979	SW	96629.125	2744.92000965	102437	91936	D-edges 193 	D-max-degree 24 	D-min-degree 9 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5978	AJH	96560.9375	3389.5288107	103626	91851	D-edges 195 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5977	AUH	96552.3125	2900.4287769	104323	93068	D-edges 198 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5976	AGK	96549.6875	3174.50184515	102100	89923	D-edges 196 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5975	AQG	96539.5625	2535.13340302	101190	90463	D-edges 196 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5974	AA3	96530.0	2828.39939277	101322	91681	D-edges 191 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5973	ASV	96490.75	3635.30709673	103289	89865	D-edges 195 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5972	AM4	96490.5	2691.55171323	101078	92255	D-edges 194 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5971	ATN	96455.6875	4414.92198004	104656	89299	D-edges 198 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5970	3A	96355.875	2738.39576383	101709	91350	D-edges 190 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5969	3Q	96348.75	3878.04289397	102653	87423	D-edges 191 	D-max-degree 23 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5968	AJM	96261.5	3773.50955677	102379	89326	D-edges 196 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5967	32	96234.125	3929.76188647	101845	87522	D-edges 193 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5966	ATA	96229.25	3330.41233371	100671	88325	D-edges 193 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5965	AL4	96189.0	2814.30604235	100959	91191	D-edges 193 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 44 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5964	ART	96092.1875	3016.0395434	104202	91522	D-edges 195 	D-max-degree 25 	D-min-degree 11 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 45 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5963	AMO	96083.875	2601.43594662	100811	91815	D-edges 198 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5962	AB2	96039.5625	2981.78991901	100158	90645	D-edges 190 	D-max-degree 24 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 41 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5961	Z2	95939.3125	3127.77506222	103604	90648	D-edges 194 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 14 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5960	AQ7	95937.875	3862.34376504	104608	90175	D-edges 197 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 12 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5959	ARG	95832.5625	2655.43247346	101921	91558	D-edges 196 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5958	ATX	95792.5625	3291.60954111	101688	90225	D-edges 195 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5957	VY	95710.625	3631.69782738	102570	87662	D-edges 194 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 12 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5956	APL	95709.5625	2351.50473019	99357	91108	D-edges 197 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5955	ATS	95709.125	4454.31125253	102231	87393	D-edges 192 	D-max-degree 23 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5954	AD6	95692.0	3298.70925515	102761	91845	D-edges 193 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5953	QQ	95640.375	3722.41352947	101530	86713	D-edges 191 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 12 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5952	ALU	95635.3125	3873.17543688	102687	90099	D-edges 195 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5951	AD7	95628.625	2925.86480538	99203	88241	D-edges 193 	D-max-degree 23 	D-min-degree 12 	D-max-in-degree 13 	D-min-in-degree 7 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 42 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5950	5W	95571.875	4109.18910606	102314	88961	D-edges 196 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5949	54	95564.5	3407.68706383	99273	85140	D-edges 196 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5948	4Y	95551.0625	3299.23918254	101199	88520	D-edges 197 	D-max-degree 25 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5947	ABB	95549.5625	3829.84191855	102900	87630	D-edges 195 	D-max-degree 24 	D-min-degree 9 	D-max-in-degree 13 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5946	TN	95544.875	2250.75026033	99314	91244	D-edges 194 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
5945	TJ	95523.375	2962.63218851	99663	87709	D-edges 195 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 12 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5944	VG	95508.1875	2972.30470802	100560	88976	D-edges 193 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 12 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 46 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5943	5V	95494.6875	2801.71219344	100910	90996	D-edges 195 	D-max-degree 25 	D-min-degree 9 	D-max-in-degree 12 	D-min-in-degree 4 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5942	ZS	95487.625	2574.86431378	99838	90697	D-edges 190 	D-max-degree 24 	D-min-degree 11 	D-max-in-degree 13 	D-min-in-degree 6 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 43 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5941	ATO	95463.75	3187.99936284	100093	87555	D-edges 197 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 7 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 19 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 19 	NSUC.conn 0
5940	YH	95450.8125	2663.07426245	101597	91747	D-edges 195 	D-max-degree 24 	D-min-degree 10 	D-max-in-degree 13 	D-min-in-degree 5 	D-max-out-degree 14 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 19 	NSUC.disc 18 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 18 	NSUC.conn 0
