
5999	FU7	3622.5	73.4557690042	3791	3493	D-edges 37 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5988	E4R	3532.375	93.5820996505	3703	3346	D-edges 34 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5987	FIE	3531.75	65.1694905612	3666	3392	D-edges 38 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 7 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 6 	all_loopy_nodes 6 	conn_loopy_nodes 0
5986	E3F	3528.3125	78.8382194354	3671	3384	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5985	E6Y	3527.8125	53.5843012808	3632	3453	D-edges 36 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5984	FBE	3527.75	88.0202391499	3673	3327	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5983	DX3	3525.6875	63.6923452524	3612	3376	D-edges 33 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5982	FHC	3525.375	59.2598884154	3650	3456	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5981	FEL	3519.4375	59.3011053333	3643	3433	D-edges 38 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5980	C5Y	3510.75	61.1560503957	3648	3424	D-edges 32 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5979	D2Q	3509.75	68.923417646	3676	3399	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5978	C3R	3507.25	78.8126734732	3685	3348	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5977	FDZ	3506.125	78.5070657648	3648	3391	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5976	FOC	3505.625	71.9538697708	3642	3371	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5975	FCJ	3505.4375	68.2733190474	3614	3391	D-edges 36 	D-max-degree 9 	D-min-degree 5 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5974	E7K	3505.25	71.9187910076	3632	3395	D-edges 33 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5973	E6Q	3503.125	64.1734709596	3660	3400	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5972	EWW	3502.125	54.994175828	3586	3359	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5971	EMI	3500.4375	90.6641941107	3638	3272	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5970	E2P	3500.3125	72.1333129958	3662	3403	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 5 	all_loopy_nodes 5 	conn_loopy_nodes 0
5969	E7U	3499.375	77.4095238004	3643	3338	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5968	EOF	3498.1875	78.5996332291	3678	3359	D-edges 36 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 9 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 5 	all_loopy_nodes 5 	conn_loopy_nodes 0
5967	EOC	3496.75	62.6483239999	3600	3317	D-edges 33 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5966	DTP	3496.125	74.7879293402	3628	3384	D-edges 33 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5965	EIK	3495.3125	63.3578317475	3572	3351	D-edges 33 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5964	FGJ	3495.0	70.6602787993	3678	3359	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5963	C4V	3494.4375	66.9878428803	3590	3363	D-edges 31 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5962	D3D	3492.9375	62.2118042959	3594	3380	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5961	E6P	3492.5	54.340362531	3561	3377	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5960	E5L	3492.0	91.3441295322	3627	3330	D-edges 34 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5959	FEJ	3486.125	54.8416755306	3620	3371	D-edges 36 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5958	EZD	3485.0	78.9651822008	3638	3310	D-edges 33 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5957	E5V	3481.6875	88.2813108407	3676	3328	D-edges 34 	D-max-degree 8 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5956	DVB	3478.625	42.8935819791	3543	3415	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5955	EAB	3478.5	47.8500261233	3543	3396	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5954	E2O	3475.9375	62.5494491882	3616	3387	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5953	DUE	3474.8125	82.6008616405	3629	3332	D-edges 33 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5952	FWR	3473.0625	67.4883959933	3586	3329	D-edges 36 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5951	DWA	3473.0	67.1890988182	3603	3358	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5950	CQJ	3472.9375	77.4269565058	3599	3351	D-edges 30 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5949	EOB	3468.25	77.6655489905	3580	3298	D-edges 31 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5948	FAI	3466.875	85.0844249848	3626	3292	D-edges 33 	D-max-degree 8 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5947	ERS	3466.8125	69.8267666712	3573	3316	D-edges 31 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5946	EFX	3463.875	59.823568725	3559	3332	D-edges 33 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 6 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5945	DR5	3462.875	73.1264957112	3583	3323	D-edges 35 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5944	DQG	3462.375	47.4340002003	3536	3359	D-edges 32 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5943	FFQ	3461.9375	80.7011994567	3603	3318	D-edges 34 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 8 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	UR-sumcomponent-non0gt2lasso 9 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5942	FHI	3461.5	59.5472501464	3581	3342	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5941	E5R	3461.375	68.7139678304	3602	3343	D-edges 33 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5940	ETW	3460.3125	63.8569874309	3570	3353	D-edges 35 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5939	EUH	3459.1875	34.9360464814	3515	3401	D-edges 31 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 8 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
