
5999	AKN	11033.125	415.519986733	11920	10462	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5983	AOP	10628.5625	1037.47529903	11962	8093	D-edges 616 	D-max-degree 37 	D-min-degree 16 	D-max-in-degree 19 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 2 	UR-edges 80 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 42 	NSUC.conn 42 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5982	AOM	10618.3125	427.041818612	11366	9750	D-edges 641 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5981	ARY	10613.5625	607.207539556	11673	9735	D-edges 646 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 38 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 38 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 19
5980	ARP	10612.125	462.838102769	11408	9426	D-edges 639 	D-max-degree 33 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5979	ASO	10611.8125	439.128856196	11400	10132	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5978	ARB	10610.5	666.03753648	11388	9113	D-edges 642 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5977	ASR	10599.4375	548.263619159	11621	9350	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 20 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 20
5976	APC	10586.75	409.304669531	11483	10116	D-edges 641 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5975	AJ2	10581.125	554.284321784	11447	9656	D-edges 655 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5974	ASF	10559.0625	405.441806667	11105	9518	D-edges 641 	D-max-degree 33 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5973	AQA	10553.75	477.679220293	11482	9879	D-edges 640 	D-max-degree 34 	D-min-degree 16 	D-max-in-degree 23 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 71 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 19
5972	APQ	10547.4375	469.696839561	11533	9792	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5971	ANJ	10534.625	381.098391987	11335	9596	D-edges 644 	D-max-degree 33 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 76 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 37 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 37 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5970	AIE	10527.625	553.943913564	11551	9719	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5969	AOL	10504.25	674.338703843	11613	8801	D-edges 642 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 74 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5968	AHW	10483.0625	524.812165059	11341	9290	D-edges 652 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 38 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 38 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5967	APA	10482.625	519.872325071	11657	9537	D-edges 644 	D-max-degree 33 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 76 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 37 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 37 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5966	AGP	10471.125	579.141808519	11515	9081	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5965	ASP	10464.4375	516.934590731	11616	9527	D-edges 646 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 22 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 19
5964	AG2	10456.25	548.383020798	11363	9548	D-edges 652 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5963	AQF	10456.125	613.554793295	11460	9436	D-edges 654 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5962	AMN	10455.3125	435.870640034	11363	9664	D-edges 654 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5961	AI7	10450.875	593.550005791	11321	9451	D-edges 651 	D-max-degree 33 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5960	AMK	10443.0625	476.170330443	11259	9726	D-edges 651 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 38 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 38 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5959	AKO	10433.9375	835.992185127	11908	8576	D-edges 655 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5958	APB	10426.3125	696.6458676	11591	8553	D-edges 642 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 73 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5957	NW	10419.625	901.56217721	12671	8772	D-edges 618 	D-max-degree 37 	D-min-degree 16 	D-max-in-degree 19 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 2 	UR-edges 81 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 19 	NSUC-D-max-out-degree 21
5956	APY	10410.0	790.310777479	12156	8954	D-edges 618 	D-max-degree 37 	D-min-degree 14 	D-max-in-degree 18 	D-min-in-degree 6 	D-max-out-degree 21 	D-min-out-degree 5 	D-diameter-from0 3 	UR-edges 83 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 43 	NSUC.conn 43 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 18 	NSUC-D-max-out-degree 21
5955	AKG	10406.375	597.322868619	11618	9593	D-edges 643 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 75 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5954	AKI	10400.75	682.316779436	11549	8801	D-edges 655 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 21 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 43 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 43 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5953	ATD	10381.1875	418.223059316	10989	9627	D-edges 641 	D-max-degree 33 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 72 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 36 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 36 	NSUC.conn 0 	NSUC-D-max-degree 33 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5952	AID	10356.6875	393.482165852	11004	9771	D-edges 652 	D-max-degree 34 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 38 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 38 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5951	AIK	10353.1875	501.357434715	11135	8986	D-edges 654 	D-max-degree 34 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 78 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 38 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 38 	NSUC.conn 0 	NSUC-D-max-degree 34 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
5950	ZW	10345.8125	617.19762017	11203	8695	D-edges 648 	D-max-degree 35 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 7 	D-max-out-degree 19 	D-min-out-degree 6 	D-diameter-from0 3 	UR-edges 77 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 47 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 19
