
5999	CDS	215920.5	350.162640783	216435	215092	D-edges 238 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 40 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5986	AWW	214610.3125	540.99511536	215568	213447	D-edges 238 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 6 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 44 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5985	BUQ	214511.625	319.884134297	215038	213870	D-edges 234 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 8 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 42 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5984	AS2	214428.5625	289.537555584	214825	213881	D-edges 236 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5983	BW4	214370.9375	264.955531351	214905	213721	D-edges 240 	D-max-degree 15 	D-min-degree 6 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 9 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 41 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5982	AV5	214224.375	268.19160012	214813	213922	D-edges 236 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5981	AT3	214206.375	330.603023844	214849	213673	D-edges 235 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5980	BOP	214172.625	427.036865358	214877	213360	D-edges 237 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 10 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5979	BVO	214134.3125	356.074030005	214717	213239	D-edges 238 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5978	ATP	214097.625	379.220232022	214595	213466	D-edges 235 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5977	ARA	213921.6875	353.531773457	214882	213529	D-edges 237 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5976	AQE	213917.75	444.653727635	215072	213276	D-edges 238 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5975	ATN	213887.6875	440.907546821	214930	213163	D-edges 230 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5974	AOB	213757.125	322.593179368	214306	213336	D-edges 230 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5973	ASS	213670.1875	319.708308218	214159	213223	D-edges 238 	D-max-degree 15 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5972	BOO	213485.625	433.660419424	214463	212715	D-edges 237 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 44 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5971	BVH	213450.5	348.130543044	214175	212855	D-edges 236 	D-max-degree 16 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 6 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 44 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5970	ASW	213432.4375	344.258254939	214043	212658	D-edges 231 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 4 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 46 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5969	BVP	213252.6875	431.676632265	214086	212493	D-edges 236 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5968	AOZ	213233.3125	435.126808923	214200	212612	D-edges 231 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 4 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 46 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5967	APB	213035.125	412.419973298	213929	212236	D-edges 229 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5966	AP2	213026.625	300.137234236	213546	212353	D-edges 231 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5965	AQO	212986.9375	286.573173193	213521	212604	D-edges 229 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5964	AS3	212965.5625	391.226591752	213630	212160	D-edges 230 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 6 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 44 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5963	AOA	212913.8125	397.248697095	213540	212058	D-edges 236 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5962	AQP	212904.6875	335.222821186	213410	212227	D-edges 230 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5961	BW3	212901.4375	405.566882393	213627	211877	D-edges 234 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 12 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 9 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 41 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5960	AN5	212872.9375	397.364830595	213862	212164	D-edges 232 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5959	ATE	212861.9375	377.764058102	213411	212166	D-edges 231 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5958	AQC	212754.5625	357.408374403	213418	212070	D-edges 237 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5957	AMA	212736.5625	357.936266804	213320	211962	D-edges 230 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5956	APD	212682.6875	352.113390606	213286	212065	D-edges 231 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5955	ANR	212574.4375	354.830940158	213085	211935	D-edges 226 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 2 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 48 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5954	BYP	212452.0	374.463783296	213111	211640	D-edges 235 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5953	BUO	212371.25	357.835943555	212836	211567	D-edges 239 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 40 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5952	AOR	212339.75	339.687080267	213024	211745	D-edges 225 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 2 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 48 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5951	AH7	212136.875	378.164460751	212947	211318	D-edges 233 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 4 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 46 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5950	AMK	212109.5	320.053120591	212726	211653	D-edges 226 	D-max-degree 15 	D-min-degree 4 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 4 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 46 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5949	ANN	212023.375	383.656727264	212542	211187	D-edges 230 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5948	AN3	211915.0	343.087270239	212350	211209	D-edges 230 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5947	AMH	211768.875	300.087252937	212329	211231	D-edges 234 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5946	ANQ	211691.3125	308.921049532	212350	211245	D-edges 229 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5945	AMR	211648.625	340.225637445	212306	211021	D-edges 229 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 45 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5944	B27	211520.375	238.185819005	212010	211203	D-edges 244 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 44 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5943	BTF	211384.5625	210.341379889	211684	210905	D-edges 244 	D-max-degree 15 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5942	AL4	211370.1875	247.990730359	211690	210925	D-edges 233 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 4 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 46 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5941	AI5	211301.0625	379.419535071	211981	210665	D-edges 226 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 2 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 48 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5940	BVN	211225.3125	378.947509352	211905	210362	D-edges 236 	D-max-degree 14 	D-min-degree 4 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 4 	UR-edges 8 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 42 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
5939	BX2	211190.5	332.219994883	211735	210678	D-edges 235 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 11 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 0 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 1 	UR-min-degree 0 	UR-connected 0 	UR-components 43 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 10 	all_sinkless_cycles 0 	NSUC.conn 0
