
5999	APP	5892.3125	61.1889683174	6025	5767	D-edges 115 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5988	YM	5736.0625	67.9811267467	5886	5623	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5987	XR	5733.0625	44.6282824423	5833	5660	D-edges 114 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5986	2Y	5731.625	81.7112867051	5840	5586	D-edges 114 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5985	XB	5722.6875	87.7188112308	5846	5513	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5984	WA	5716.3125	45.5270781376	5796	5653	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5983	XF	5699.0625	47.4756105148	5792	5615	D-edges 114 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 8 	all_loopy_nodes 8 	conn_loopy_nodes 0
5982	VQ	5697.6875	54.00546124	5830	5596	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5981	UD	5697.6875	64.4124587619	5815	5578	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5980	XJ	5694.5625	52.2983851926	5797	5610	D-edges 112 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 19 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5979	ML	5683.8125	56.5864590141	5769	5573	D-edges 100 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5978	TG	5682.3125	38.2176640279	5771	5626	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5977	SU	5673.0	45.6220889482	5733	5574	D-edges 100 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5976	SN	5671.125	50.5901114349	5741	5569	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5975	TF	5670.5	67.1742138026	5760	5483	D-edges 114 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5974	S7	5669.3125	78.4408365824	5800	5539	D-edges 114 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5973	TM	5665.4375	72.7521208883	5765	5492	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5972	RK	5665.0625	55.0936347843	5756	5600	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5971	UV	5664.75	67.0592089127	5866	5583	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5970	RF	5660.6875	63.9547874967	5760	5501	D-edges 114 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5969	UI	5660.4375	89.3476138112	5801	5462	D-edges 114 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5968	VI	5658.125	61.2401777839	5765	5562	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5967	YT	5655.75	45.6405795318	5753	5588	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5966	QN	5653.5625	69.2955344431	5799	5547	D-edges 99 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
5965	PV	5651.25	68.5916357875	5773	5511	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5964	W6	5646.5	68.5301028746	5797	5507	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 14 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 7 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5963	PD	5646.125	92.766423748	5927	5530	D-edges 114 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 17 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5962	MA	5645.9375	47.3279367155	5712	5544	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5961	NT	5640.4375	73.8122353933	5772	5498	D-edges 112 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5960	SH	5638.1875	84.9258638093	5836	5466	D-edges 111 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5959	X3	5634.5	70.7654576753	5767	5511	D-edges 111 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 18 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 18 	disc_loopy_nodes 7 	all_loopy_nodes 7 	conn_loopy_nodes 0
5958	OW	5633.4375	67.7707244594	5753	5490	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 11 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5957	TQ	5632.8125	57.8643011169	5782	5545	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5956	VE	5627.25	76.1991633812	5723	5456	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5955	UG	5621.5625	58.766453813	5749	5518	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5954	OT	5616.8125	64.4817985462	5723	5484	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5953	NU	5615.5625	76.4705570383	5787	5469	D-edges 110 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5952	OR	5614.875	52.0695148335	5755	5552	D-edges 112 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5951	MB	5614.5	70.1097354153	5725	5487	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5950	P3	5609.375	58.3650955195	5724	5504	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5949	N5	5607.6875	52.2682010763	5716	5541	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 20 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5948	X2	5606.6875	61.0058590936	5703	5507	D-edges 113 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5947	AVG	5604.9375	66.6281366522	5765	5519	D-edges 112 	D-max-degree 17 	D-min-degree 6 	D-max-in-degree 9 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 0 	all_loopy_nodes 0 	conn_loopy_nodes 0
5946	PI	5598.6875	72.2320209031	5742	5467	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5945	RL	5597.3125	58.9255024904	5714	5501	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 16 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5944	XK	5596.875	49.9535721946	5704	5504	D-edges 112 	D-max-degree 16 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 15 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5943	SG	5595.75	86.8011376654	5713	5405	D-edges 113 	D-max-degree 18 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 12 	all_loopy_nodes 12 	conn_loopy_nodes 0
5942	N3	5592.875	72.5774370931	5705	5415	D-edges 113 	D-max-degree 18 	D-min-degree 6 	D-max-in-degree 10 	D-min-in-degree 3 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 19 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	UR-sumcomponent-non0gt2lasso 17 	disc_loopy_nodes 10 	all_loopy_nodes 10 	conn_loopy_nodes 0
5941	PG	5592.6875	90.723976124	5797	5468	D-edges 111 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5940	QC	5589.9375	60.9574326375	5671	5449	D-edges 113 	D-max-degree 17 	D-min-degree 7 	D-max-in-degree 10 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 4 	all_loopy_nodes 4 	conn_loopy_nodes 0
5939	OU	5587.3125	62.4937184343	5701	5449	D-edges 97 	D-max-degree 13 	D-min-degree 4 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 7 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 15 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	UR-sumcomponent-non0gt2lasso 16 	disc_loopy_nodes 3 	all_loopy_nodes 3 	conn_loopy_nodes 0
