
5999	D2Q	16824.0	82.245060642	16978	16646	D-edges 762 	D-max-degree 40 	D-min-degree 22 	D-max-in-degree 23 	D-min-in-degree 10 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 132 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 23
5977	DNA	16632.375	164.169072529	17005	16347	D-edges 747 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 134 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5976	DOY	16626.375	124.23358795	16851	16442	D-edges 747 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 135 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5975	DQB	16623.125	99.1210591903	16808	16456	D-edges 751 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 136 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5974	DKS	16612.4375	99.6079619998	16790	16474	D-edges 747 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 135 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5973	DNV	16609.5	122.959342874	16786	16323	D-edges 748 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 134 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5972	DJK	16600.375	119.467503427	16815	16429	D-edges 746 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 134 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5971	DUE	16594.5625	138.390285402	16826	16354	D-edges 747 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 135 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5970	DIA	16591.8125	113.132786334	16791	16402	D-edges 747 	D-max-degree 40 	D-min-degree 21 	D-max-in-degree 22 	D-min-in-degree 9 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 128 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5969	DUI	16588.8125	78.9756439907	16713	16391	D-edges 749 	D-max-degree 41 	D-min-degree 21 	D-max-in-degree 22 	D-min-in-degree 9 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 128 	UR-max-degree 12 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5968	DOQ	16588.125	114.191109002	16940	16448	D-edges 746 	D-max-degree 40 	D-min-degree 17 	D-max-in-degree 23 	D-min-in-degree 7 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 132 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 23
5967	DCV	16583.375	114.575780054	16859	16415	D-edges 740 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 131 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5966	DIW	16580.625	120.493192235	16776	16370	D-edges 740 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 133 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5965	DVZ	16574.875	113.936865742	16821	16359	D-edges 748 	D-max-degree 40 	D-min-degree 22 	D-max-in-degree 22 	D-min-in-degree 9 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 126 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5964	DIG	16572.6875	132.613969263	16890	16367	D-edges 741 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 129 	UR-max-degree 10 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5963	DTE	16569.8125	134.61529387	16845	16294	D-edges 749 	D-max-degree 41 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 3 	UR-edges 135 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 41 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5962	DSE	16565.5	128.062484749	16799	16256	D-edges 736 	D-max-degree 43 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 6 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 123 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 43 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5961	DCI	16564.625	119.931165153	16871	16401	D-edges 744 	D-max-degree 42 	D-min-degree 20 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 123 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5960	DTP	16558.0625	133.378441263	16783	16262	D-edges 742 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 131 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5959	C6B	16557.6875	126.31939615	16778	16352	D-edges 739 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 131 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5958	DIH	16553.875	110.986415272	16766	16307	D-edges 739 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 131 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5957	DIB	16552.875	102.466381682	16699	16368	D-edges 747 	D-max-degree 42 	D-min-degree 20 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 124 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5956	DGA	16549.6875	102.770204066	16823	16371	D-edges 747 	D-max-degree 43 	D-min-degree 20 	D-max-in-degree 23 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 121 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 43 	NSUC-D-max-in-degree 23 	NSUC-D-max-out-degree 23
5955	DLY	16549.0	93.9867011869	16722	16398	D-edges 741 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 21 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 133 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 45 	NSUC.conn 45 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 23
5954	DC6	16548.5625	99.0965241255	16715	16403	D-edges 741 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 133 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5953	DII	16547.8125	127.114229509	16733	16263	D-edges 742 	D-max-degree 40 	D-min-degree 18 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 133 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5952	DUX	16544.8125	127.028647729	16807	16271	D-edges 753 	D-max-degree 40 	D-min-degree 19 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 134 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 40 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
5951	DE4	16537.375	95.4757004426	16697	16385	D-edges 745 	D-max-degree 42 	D-min-degree 20 	D-max-in-degree 22 	D-min-in-degree 8 	D-max-out-degree 23 	D-min-out-degree 8 	D-diameter-from0 2 	UR-edges 123 	UR-max-degree 11 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0 	NSUC-D-max-degree 42 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 23
