
5999	ALE	71288.75	1072.98517581	73490	69278	D-edges 34 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 2 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 5 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5962	ABR	68374.6875	885.850489554	69315	66089	D-edges 32 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 5 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	DD 5 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5961	Z3	68119.9375	1122.04347447	69854	65077	D-edges 33 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 0 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 0 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5960	ZY	68015.25	1210.85937974	69772	65760	D-edges 27 	D-max-degree 10 	D-min-degree 2 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 4 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5959	W3	67942.4375	1074.83004289	69446	64621	D-edges 28 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 4 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5958	XC	67784.5	1056.98781923	69410	64925	D-edges 29 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5957	ABQ	67781.6875	1156.13265452	69774	65922	D-edges 33 	D-max-degree 11 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5956	XX	67738.625	1266.33002585	69590	64170	D-edges 30 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5955	4I	67705.375	2069.92840682	69715	61173	D-edges 33 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5954	AC4	67697.25	5892.79396276	70733	45252	D-edges 32 	D-max-degree 11 	D-min-degree 4 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 5 	UR-max-degree 2 	UR-min-degree 0 	UR-connected 0 	UR-components 6 	DD 5 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5953	S4	67540.4375	1422.06715597	69131	64221	D-edges 32 	D-max-degree 10 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5952	VA	67454.625	1161.81253194	69037	64749	D-edges 29 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 4 	D-min-out-degree 2 	D-diameter-from0 3 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5951	R7	67388.75	1351.62682072	69180	63674	D-edges 29 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 4 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5950	PI	67376.25	1074.63380391	68857	64202	D-edges 29 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5949	YF	67363.625	1087.85711809	68852	64920	D-edges 31 	D-max-degree 10 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5948	VU	67205.4375	1323.98154107	69201	64282	D-edges 28 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5947	QS	67191.9375	945.79308445	68574	64776	D-edges 31 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5946	6S	67060.375	1246.89137834	69054	64600	D-edges 32 	D-max-degree 9 	D-min-degree 4 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 2 	D-diameter-from0 4 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5945	QT	66986.9375	1012.02744953	68073	64675	D-edges 30 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5944	RP	66947.25	827.558419388	68465	65513	D-edges 30 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5943	T3	66941.0	945.076121273	68310	64586	D-edges 31 	D-max-degree 11 	D-min-degree 3 	D-max-in-degree 7 	D-min-in-degree 2 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5942	VS	66884.25	2346.56185993	68820	58780	D-edges 28 	D-max-degree 9 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 5 	UR-edges 6 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 5 	DD 6 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5941	OZ	66786.0	865.056428795	67940	65382	D-edges 31 	D-max-degree 10 	D-min-degree 4 	D-max-in-degree 6 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5940	UH	66714.75	963.398249687	68707	65078	D-edges 34 	D-max-degree 10 	D-min-degree 3 	D-max-in-degree 5 	D-min-in-degree 2 	D-max-out-degree 6 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 8 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 8 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
5939	US	66697.4375	1170.70742335	68413	63878	D-edges 31 	D-max-degree 9 	D-min-degree 2 	D-max-in-degree 5 	D-min-in-degree 1 	D-max-out-degree 5 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 7 	UR-max-degree 3 	UR-min-degree 0 	UR-connected 0 	UR-components 4 	DD 7 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 5 	all_sinkless_cycles 5 	NSUC.conn 0
