
5999	EXR	1171.8125	23.0711365942	1210	1126	D-edges 49 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5988	FSE	1152.3125	20.8438202772	1200	1122	D-edges 50 	D-max-degree 13 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5987	FKW	1152.0625	31.4214670846	1197	1102	D-edges 50 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5986	DFZ	1151.125	17.283934014	1184	1118	D-edges 47 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5985	FZO	1150.8125	19.4878768405	1194	1126	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5984	F4B	1150.5	18.8679622641	1182	1110	D-edges 49 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5983	FP6	1150.25	26.1545885076	1196	1102	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5982	EUM	1150.1875	17.6182389514	1191	1120	D-edges 49 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5981	FMM	1149.75	26.5765404069	1191	1102	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5980	F4X	1149.4375	20.8745321804	1189	1100	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5979	FO6	1149.25	27.4897708248	1190	1093	D-edges 49 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5978	FKR	1148.9375	16.4752418419	1182	1117	D-edges 49 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5977	F33	1148.375	20.0058585169	1205	1119	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5976	FW4	1147.5625	23.6219409395	1198	1113	D-edges 51 	D-max-degree 14 	D-min-degree 7 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 13 	UR-max-degree 6 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5975	DPP	1147.5625	26.8210941937	1215	1107	D-edges 48 	D-max-degree 12 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5974	F4L	1147.375	18.1998454664	1170	1099	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5973	FL3	1146.5625	21.3716188846	1194	1116	D-edges 50 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5972	GCM	1145.9375	23.535793884	1193	1104	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5971	F4K	1145.875	22.8168660206	1181	1106	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5970	F26	1145.125	18.0654193143	1178	1116	D-edges 49 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5969	EZB	1145.125	18.8940301418	1188	1105	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5968	GCP	1145.0625	13.3063366014	1164	1120	D-edges 49 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5967	E6W	1144.3125	28.3145694608	1192	1099	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5966	GCE	1144.0	23.7776155238	1206	1114	D-edges 49 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5965	FP5	1143.5625	20.6729556123	1182	1108	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5964	EUL	1142.6875	26.6381276322	1181	1104	D-edges 47 	D-max-degree 13 	D-min-degree 4 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5963	DR5	1141.875	16.3434811163	1170	1115	D-edges 49 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5962	ETA	1141.5	25.7196422992	1190	1101	D-edges 50 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5961	FGT	1141.4375	31.204904963	1207	1083	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5960	FNK	1139.25	22.6674325851	1185	1079	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0
5959	EFD	1138.9375	22.7251753294	1183	1105	D-edges 46 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5958	FZL	1138.25	18.9917745353	1173	1093	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5957	F6R	1138.0	20.0343455096	1182	1104	D-edges 49 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5956	GAO	1137.875	28.4931461057	1187	1089	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5955	DL2	1137.8125	18.272994931	1181	1106	D-edges 48 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5954	F5W	1137.5625	34.1302079359	1225	1087	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 5 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 5 	NSUC.conn 0
5953	F57	1137.5	24.3849338732	1178	1087	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5952	FWI	1137.1875	24.6556756904	1176	1103	D-edges 50 	D-max-degree 14 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5951	FPW	1137.1875	18.1735341568	1177	1114	D-edges 50 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5950	FTJ	1136.8125	26.0557545228	1206	1098	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0
5949	FXR	1136.6875	19.585449797	1170	1097	D-edges 50 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 2 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 8 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 8 	NSUC.conn 0
5948	GBD	1136.1875	26.7212900839	1183	1089	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5947	EDG	1136.125	23.8691092209	1180	1096	D-edges 48 	D-max-degree 12 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 12 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5946	F2G	1135.875	27.5315160316	1180	1080	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5945	FY7	1135.25	19.4180972291	1180	1106	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 8 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5944	FHU	1134.625	22.4245261934	1183	1101	D-edges 47 	D-max-degree 13 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 12 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5943	FOZ	1134.5625	22.6356156035	1177	1083	D-edges 49 	D-max-degree 14 	D-min-degree 5 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 2 	UR-edges 13 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5942	F2Q	1134.5	21.8689277286	1167	1093	D-edges 48 	D-max-degree 13 	D-min-degree 6 	D-max-in-degree 8 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 5 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
5941	ELY	1134.3125	17.7296317996	1160	1088	D-edges 47 	D-max-degree 12 	D-min-degree 6 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 10 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 6 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 6 	NSUC.conn 0
5940	EAE	1134.1875	24.1174696797	1175	1087	D-edges 49 	D-max-degree 12 	D-min-degree 7 	D-max-in-degree 7 	D-min-in-degree 1 	D-max-out-degree 9 	D-min-out-degree 1 	D-diameter-from0 3 	UR-edges 11 	UR-max-degree 4 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 9 	NSUC.disc 7 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 7 	NSUC.conn 0
