
5999	CAN	1252.0625	16.311302638	1275	1215	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5988	CBN	1237.1875	18.1769728984	1282	1213	D-edges 195 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5987	B47	1236.75	21.3028753928	1297	1210	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5986	B5F	1236.5	21.820288724	1283	1191	D-edges 200 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 52 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5985	B3Q	1234.3125	18.4211792171	1271	1205	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5984	BZU	1232.875	20.4996188989	1268	1191	D-edges 198 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5983	BKC	1232.8125	25.2294935294	1273	1185	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5982	CC5	1232.75	23.8235702614	1277	1190	D-edges 200 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5981	CAK	1232.5	14.2872320622	1251	1193	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5980	CC2	1232.0	20.7092974289	1276	1205	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5979	BYL	1231.9375	21.9757501294	1281	1199	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5978	BYC	1231.75	20.8101537717	1272	1202	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5977	BTF	1231.6875	17.1636197741	1260	1204	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5976	BYS	1231.375	20.343533985	1279	1193	D-edges 199 	D-max-degree 26 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5975	B6E	1231.1875	14.9925762879	1257	1199	D-edges 196 	D-max-degree 26 	D-min-degree 11 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5974	CCA	1230.875	20.8112799943	1278	1195	D-edges 196 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 5 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5973	BV5	1230.6875	21.7563747842	1261	1184	D-edges 200 	D-max-degree 26 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5972	CBL	1230.375	19.5316249964	1272	1188	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5971	B7G	1230.0	18.8348082018	1263	1199	D-edges 197 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5970	CCY	1229.4375	20.4296621056	1274	1199	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5969	B2G	1229.125	16.2090831018	1251	1189	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5968	B6H	1228.8125	20.0100560656	1268	1189	D-edges 197 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 16 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5967	CB3	1228.0625	22.1626621539	1262	1184	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5966	BMX	1228.0	18.4356990646	1277	1182	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5965	CCO	1227.6875	18.3872195764	1270	1198	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5964	BGU	1226.875	18.0307896388	1267	1198	D-edges 197 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5963	CCZ	1226.125	15.2597305022	1245	1190	D-edges 198 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5962	BLM	1225.6875	20.1299489257	1259	1187	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5961	BZF	1225.625	21.9740614134	1271	1195	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 12 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5960	B6M	1224.9375	17.8412049411	1258	1199	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5959	B5K	1224.4375	13.6655074458	1253	1202	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5958	B2V	1224.125	20.8112799943	1270	1201	D-edges 198 	D-max-degree 25 	D-min-degree 15 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5957	CA7	1224.0	14.6628782986	1241	1195	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5956	BI5	1223.8125	17.0338587452	1256	1198	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5955	BAX	1223.375	17.7019596373	1267	1189	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5954	BZH	1222.0625	18.6831098522	1243	1184	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5953	BMT	1221.875	18.3094067353	1246	1191	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5952	BUR	1221.3125	20.1733696677	1257	1179	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5951	BDU	1221.3125	18.3429780502	1263	1188	D-edges 196 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 47 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5950	B6R	1221.25	18.5421816408	1240	1160	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5949	BH7	1221.0	23.6880771697	1251	1147	D-edges 197 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5948	BIJ	1220.75	12.9059094991	1239	1194	D-edges 197 	D-max-degree 25 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5947	B52	1220.75	17.0715406452	1251	1186	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5946	BBP	1220.4375	20.8775260448	1260	1179	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5945	BJF	1220.3125	20.2414140749	1252	1182	D-edges 198 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5944	BH6	1219.875	17.3272725782	1250	1187	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5943	BG4	1218.75	14.9937486974	1245	1197	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5942	BF5	1218.6875	15.7468994964	1243	1190	D-edges 196 	D-max-degree 26 	D-min-degree 12 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5941	BDL	1218.625	18.148260936	1249	1188	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5940	CAW	1218.125	14.5296034013	1251	1189	D-edges 196 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5939	BBM	1217.75	23.9230537348	1282	1176	D-edges 198 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5938	CDM	1217.6875	14.8101263921	1239	1186	D-edges 199 	D-max-degree 27 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5937	B62	1216.875	18.0723372866	1253	1183	D-edges 195 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 5 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 48 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5936	BN2	1216.625	17.4136261301	1246	1182	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 2 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5935	BW4	1216.5	17.1500728861	1251	1195	D-edges 197 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 49 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5934	BV6	1216.125	16.7961119013	1250	1188	D-edges 199 	D-max-degree 27 	D-min-degree 13 	D-max-in-degree 18 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 9 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5933	B5H	1215.5	23.7328885726	1269	1174	D-edges 199 	D-max-degree 26 	D-min-degree 14 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 50 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
5932	BGZ	1215.25	22.4513362631	1258	1183	D-edges 199 	D-max-degree 26 	D-min-degree 13 	D-max-in-degree 17 	D-min-in-degree 6 	D-max-out-degree 13 	D-min-out-degree 4 	D-diameter-from0 2 	UR-edges 51 	UR-max-degree 8 	UR-min-degree 1 	UR-connected 1 	UR-components 1 	DD 0 	NSUC.disc 0 	all_sinkless_cycles 0 	NSUC.conn 0
