
5999	D7H	1354.8125	46.9497320945	1415	1278	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5987	DIV	1337.0	35.3500353607	1422	1281	D-edges 630 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5986	DYY	1336.375	50.5616888068	1455	1268	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5985	DKO	1334.3125	57.0051738332	1456	1224	D-edges 629 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 21 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 21
5984	DY5	1334.25	26.2047228568	1419	1291	D-edges 632 	D-max-degree 39 	D-min-degree 15 	D-max-in-degree 22 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 39 	NSUC-D-max-in-degree 22 	NSUC-D-max-out-degree 22
5983	DSG	1331.8125	34.0279641435	1383	1272	D-edges 628 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 42 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 42 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5982	D45	1331.6875	34.46323902	1390	1264	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5981	D4J	1331.375	33.0130182655	1399	1277	D-edges 636 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 84 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 42 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 42 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5980	DJQ	1330.0	43.1364115336	1437	1281	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5979	D57	1329.375	38.2914399703	1413	1263	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5978	DRD	1329.0	44.5322916545	1428	1276	D-edges 629 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5977	DPU	1328.0	32.3496522392	1400	1289	D-edges 630 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5976	CVV	1327.5	26.816506111	1382	1285	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5975	D56	1327.125	31.8588194226	1384	1270	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5974	DSA	1326.5	40.6063418692	1433	1266	D-edges 630 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5973	DLM	1326.1875	39.785705269	1416	1266	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5972	DUL	1325.25	48.04359999	1414	1255	D-edges 628 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5971	DYC	1325.1875	40.591284086	1431	1277	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5970	DMY	1325.1875	45.0058589936	1406	1251	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5969	DVK	1325.0625	36.8348828388	1394	1259	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5968	D46	1325.0	37.7806167234	1415	1282	D-edges 634 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 20 	D-min-in-degree 4 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 42 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 42 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5967	D2F	1324.75	30.0884113904	1381	1280	D-edges 630 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5966	CPZ	1324.4375	21.1452380869	1364	1292	D-edges 633 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5965	CZF	1324.25	21.856063232	1362	1288	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5964	C2O	1323.75	23.047505288	1363	1278	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5963	DZQ	1323.3125	21.7017244419	1364	1290	D-edges 635 	D-max-degree 38 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 83 	UR-max-degree 8 	UR-min-degree 0 	UR-connected 0 	UR-components 3 	DD 48 	NSUC.disc 44 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 44 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5962	DPK	1323.25	48.8946571723	1406	1226	D-edges 631 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 20 	D-min-in-degree 6 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 10 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 0 	NSUC.disc 0 	CSUC.disc 0 	min_CSUC.disc 0 	all_sinkless_cycles 41 	NSUC.conn 41 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 20 	NSUC-D-max-out-degree 22
5961	DBG	1323.125	27.5065333148	1377	1287	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5960	DAI	1322.75	25.8396497654	1366	1281	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 40 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 40 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5959	DH7	1322.6875	35.1046983145	1398	1273	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5958	DL5	1321.9375	42.4962774105	1411	1246	D-edges 633 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 42 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 42 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5957	D2R	1321.5	35.5844066973	1394	1278	D-edges 631 	D-max-degree 37 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 37 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5956	D2Q	1321.25	26.3829964181	1395	1292	D-edges 631 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 80 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5955	DYM	1320.9375	37.1844536567	1377	1253	D-edges 633 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5954	DK5	1320.6875	32.4667498181	1400	1277	D-edges 633 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5953	D7Z	1320.25	33.0539332002	1419	1286	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 82 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5952	D5Q	1320.125	26.3103472991	1385	1290	D-edges 632 	D-max-degree 38 	D-min-degree 15 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 81 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 41 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 41 	NSUC.conn 0 	NSUC-D-max-degree 38 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
5951	D47	1319.9375	20.7197633613	1353	1279	D-edges 618 	D-max-degree 35 	D-min-degree 16 	D-max-in-degree 21 	D-min-in-degree 5 	D-max-out-degree 22 	D-min-out-degree 7 	D-diameter-from0 3 	UR-edges 79 	UR-max-degree 9 	UR-min-degree 0 	UR-connected 0 	UR-components 2 	DD 49 	NSUC.disc 39 	CSUC.disc 1 	min_CSUC.disc 3 	all_sinkless_cycles 39 	NSUC.conn 0 	NSUC-D-max-degree 35 	NSUC-D-max-in-degree 21 	NSUC-D-max-out-degree 22
